trial_id,score,alpha,dense_units,dropout_1,dropout_2,learning_rate,label_smoothing,tuner_bracket,tuner_round,tuner_epochs,tuner_initial_epoch,best_step
0025,0.9679487347602844,0.5,32,0.2,0.2,0.0005,0.1,1,1,20,7,4
0029,0.964102566242218,0.35,32,0.4,0.1,0.0005,0.05,0,0,20,0,2
0017,0.9615384340286255,0.5,64,0.2,0.1,0.001,0.0,2,2,20,7,3
0024,0.9615384340286255,0.5,32,0.2,0.2,0.0005,0.0,1,1,20,7,11
0016,0.9602563977241516,0.35,128,0.30000000000000004,0.2,0.001,0.15,2,2,20,7,5
0026,0.9602563977241516,0.35,64,0.4,0.2,0.0005,0.05,0,0,20,0,7
0028,0.9602563977241516,0.75,32,0.4,0.1,0.001,0.1,0,0,20,0,11
0023,0.9564102292060852,0.5,32,0.2,0.2,0.0005,0.0,1,0,7,0,6
0015,0.9551281929016113,0.35,128,0.30000000000000004,0.2,0.001,0.15,2,1,7,3,1
0009,0.9551281929016113,0.5,64,0.2,0.1,0.001,0.0,2,0,3,0,2
